"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 30 14:16:47 UTC 2023","Fri Jun 30 14:17:06 UTC 2023","18982","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","12. Complete Applicants",""
"passed","Fri Jun 30 14:26:25 UTC 2023","Fri Jun 30 14:27:14 UTC 2023","49219","","13. Client Portal - Change Portfolio","","","","6. Submit Change",""
"passed","Fri Jun 30 14:45:29 UTC 2023","Fri Jun 30 14:45:37 UTC 2023","8648","","22. Individual Onboarding for Interactive Brokers","","","","11. Complete Compliance",""
"passed","Fri Jun 30 14:31:19 UTC 2023","Fri Jun 30 14:31:22 UTC 2023","2505","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
"passed","Fri Jun 30 14:56:24 UTC 2023","Fri Jun 30 14:56:42 UTC 2023","17943","","6. Company Account","","","","7. Complete In Company Details",""
"failed","Fri Jun 30 14:45:40 UTC 2023","Fri Jun 30 14:49:02 UTC 2023","202857","","22. Individual Onboarding for Interactive Brokers","","","","13. Limited Advice Path",""
"passed","Fri Jun 30 14:22:26 UTC 2023","Fri Jun 30 14:22:28 UTC 2023","1473","","10. Client Portal - Account Dashboard","","","","8. Expand Performance",""
"passed","Fri Jun 30 14:55:21 UTC 2023","Fri Jun 30 14:55:29 UTC 2023","8349","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Fri Jun 30 14:03:14 UTC 2023","Fri Jun 30 14:03:37 UTC 2023","22790","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Fri Jun 30 14:54:52 UTC 2023","Fri Jun 30 14:54:54 UTC 2023","2611","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Fri Jun 30 14:03:47 UTC 2023","Fri Jun 30 14:03:50 UTC 2023","3132","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Fri Jun 30 14:04:51 UTC 2023","Fri Jun 30 14:04:54 UTC 2023","3172","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Fri Jun 30 14:22:14 UTC 2023","Fri Jun 30 14:22:26 UTC 2023","12130","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"passed","Fri Jun 30 14:03:20 UTC 2023","Fri Jun 30 14:03:23 UTC 2023","3592","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
"passed","Fri Jun 30 14:13:24 UTC 2023","Fri Jun 30 14:13:33 UTC 2023","9220","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","3. Create new Individual investment account",""
"passed","Fri Jun 30 14:59:16 UTC 2023","Fri Jun 30 14:59:35 UTC 2023","19091","","19. Look Up Investment Account","","","","1. Log in using manager login",""
